Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

R37        0603                   180mil       1870mil        180mil       1870mil    144.567mil       1870mil  B        360.00 680R           
R36        0603                   180mil       1930mil        180mil       1930mil    215.433mil       1930mil  B        180.00 680R           
C19        1206_A                1015mil       2080mil       1015mil       2080mil   1070.118mil       2080mil  B        180.00 10uF           
C18        0805                  1015mil       1995mil       1015mil       1995mil    1054.37mil       1995mil  B        180.00 1.0uF          
D2         APG1608                700mil       1640mil        700mil       1640mil     732.48mil       1640mil  T        180.00 TX             
C20        0805                   595mil       1395mil        595mil       1395mil     634.37mil       1395mil  B        180.00 1.0uF          
U12        SSOP-16                425mil       1825mil        425mil       1825mil    516.535mil     1912.5mil  B        180.00 FT201XS-R      
R32        0603                   870mil       1805mil        870mil       1805mil    834.567mil       1805mil  B        360.00 27R            
R34        0603                   735mil       1805mil        735mil       1805mil    770.433mil       1805mil  B        180.00 27R            
R33        0603                   190mil        190mil        190mil        190mil    154.567mil        190mil  B        360.00 160R           
R35        0603                   910mil        120mil        910mil        120mil    945.433mil        120mil  B        180.00 160R           
R31        0603                   910mil        190mil        910mil        190mil    874.567mil        190mil  B        360.00 1.0K           
R30        0603                   190mil        120mil        190mil        120mil    225.433mil        120mil  B        180.00 1.0K           
L1         0805                  1015mil       1875mil       1015mil       1875mil     975.63mil       1875mil  B        360.00 MI0805K601R-10 
J1         UX60-MB-5ST            780mil   1950.669mil        780mil       1930mil    842.992mil   1841.417mil  T         90.00 UX60-MB-5ST    
D1         APG1608               1700mil        225mil       1700mil        225mil    1667.52mil        225mil  T          0.00 HALT           
D3         APG1608                700mil       1725mil        700mil       1725mil     732.48mil       1725mil  T        180.00 RX             
C14        0603                  1005mil       1805mil       1005mil       1805mil    969.567mil       1805mil  B        360.00 10nF           
C16        0603                   870mil       1865mil        870mil       1865mil    905.433mil       1865mil  B        180.00 47pF           
C15        0603                   735mil       1865mil        735mil       1865mil    699.567mil       1865mil  B        360.00 47pF           
C17        0603                   180mil       1750mil        180mil       1750mil    144.567mil       1750mil  B        360.00 0.1uF          
U11        PW014                 1100mil       1300mil       1100mil       1300mil   1210.236mil   1376.772mil  B        180.00 CD74HC4002PWR  
C11        0603                  1185mil       1460mil       1185mil       1460mil   1220.433mil       1460mil  B        180.00 0.1uF          
R26        0603                   595mil   1324.999mil        595mil       1325mil    559.566mil   1324.999mil  B        360.00 10K            
R25        0603                   745mil   1325.001mil        745mil       1325mil    780.434mil   1325.001mil  B        180.00 10K            
SW30       PTS645SM43SMTR_LFS       1100mil       1275mil       1100mil       1275mil    943.504mil   1363.582mil  T        360.00 SBP            
C1         0603                  1705mil        295mil       1705mil        295mil   1740.433mil        295mil  B        180.00 0.1uF          
C2         0603                  1990mil        760mil       1990mil        760mil   1954.567mil        760mil  B        360.00 0.1uF          
C3         0603                  2665mil        740mil       2665mil        740mil       2665mil    704.567mil  B         90.00 0.1uF          
C4         0603                  3050mil       1515mil       3050mil       1515mil   3085.433mil       1515mil  B        180.00 0.1uF          
C5         0603                  2385mil       1460mil       2385mil       1460mil   2420.433mil       1460mil  B        180.00 0.1uF          
C6         0603                  2785mil       1460mil       2785mil       1460mil   2749.567mil       1460mil  B        360.00 0.1uF          
C7         0603                  2030mil        340mil       2030mil        340mil       2030mil    375.433mil  B        270.00 0.1uF          
C8         0603                   180mil       1810mil        180mil       1810mil    144.566mil       1810mil  B        360.00 0.1uF          
C9         0603                  1585mil       1460mil       1585mil       1460mil   1549.567mil       1460mil  B        360.00 0.1uF          
C10        0603                   875mil        920mil        875mil        920mil    839.567mil        920mil  B        360.00 0.1uF          
DS1        ACSC03-41EWA-F01       1205mil       1855mil       1205mil       1855mil    1086.89mil    1618.78mil  T          0.00 ACSC03-41EWA-F01
DS2        ACSC03-41EWA-F01       1505mil       1855mil       1505mil       1855mil    1386.89mil    1618.78mil  T          0.00 ACSC03-41EWA-F01
DS4        ACSC03-41EWA-F01       2105mil       1855mil       2105mil       1855mil    1986.89mil    1618.78mil  T          0.00 ACSC03-41EWA-F01
DS6        ACSC03-41EWA-F01       2705mil       1855mil       2705mil       1855mil    2586.89mil    1618.78mil  T          0.00 ACSC03-41EWA-F01
R1         0603                   745mil       1525mil        745mil       1525mil    709.566mil       1525mil  B        360.00 47.0K          
R2         0603                  1705mil        225mil       1705mil        225mil   1740.434mil        225mil  B        180.00 10K            
R3         0603                   595mil       1525mil        595mil       1525mil    630.434mil       1525mil  B        180.00 47.0K          
R4         0603                  1360mil        190mil       1360mil        190mil   1395.433mil        190mil  B        180.00 10K            
R5         0603                  1210mil        190mil       1210mil        190mil   1174.567mil        190mil  B        360.00 10K            
R6         0603                  2350mil       1100mil       2350mil       1100mil   2385.433mil       1100mil  B        180.00 10K            
R7         0603                  2150mil       1100mil       2150mil       1100mil   2114.567mil       1100mil  B        360.00 10K            
R8         0603                  1800mil       1300mil       1800mil       1300mil       1800mil   1335.434mil  B        270.00 1.0M           
R9         0603                   895mil       1465mil        895mil       1465mil    859.566mil       1465mil  B        360.00 47.0K          
R10        0603                   910mil        260mil        910mil        260mil    874.566mil        260mil  B        360.00 10K            
R11        0603                   350mil   1390.001mil        350mil       1390mil    385.434mil   1390.001mil  B        180.00 680R           
R12        0603                   350mil   1330.001mil        350mil       1330mil    385.434mil   1330.001mil  B        180.00 680R           
R13        0603                   350mil   1270.001mil        350mil       1270mil    385.434mil   1270.001mil  B        180.00 680R           
R14        0603                   350mil   1210.001mil        350mil       1210mil    385.434mil   1210.001mil  B        180.00 680R           
R15        0603                   350mil   1150.001mil        350mil       1150mil    385.434mil   1150.001mil  B        180.00 680R           
R16        0603                   350mil   1090.001mil        350mil       1090mil    385.434mil   1090.001mil  B        180.00 680R           
R17        0603                   350mil   1030.001mil        350mil       1030mil    385.434mil   1030.001mil  B        180.00 680R           
R18        0603                   350mil    970.001mil        350mil        970mil    385.434mil    970.001mil  B        180.00 680R           
R19        0603                   370mil        190mil        370mil        190mil    405.434mil        190mil  B        180.00 10K            
R20        0603                   370mil        120mil        370mil        120mil    405.434mil        120mil  B        180.00 10K            
R21        0603                   550mil        120mil        550mil        120mil    514.566mil        120mil  B        360.00 10K            
R22        0603                   550mil        190mil        550mil        190mil    514.566mil        190mil  B        360.00 10K            
R23        0603                   730mil        120mil        730mil        120mil    694.566mil        120mil  B        360.00 10K            
R24        0603                   730mil        190mil        730mil        190mil    694.566mil        190mil  B        360.00 10K            
SW0        PTS645SM43SMTR_LFS       3100mil        225mil       3100mil        225mil   2943.504mil    313.582mil  T        360.00 3 HL           
SW1        PTS645SM43SMTR_LFS       3100mil        575mil       3100mil        575mil   2943.504mil    663.582mil  T        360.00 7 HL'          
SW2        PTS645SM43SMTR_LFS       3100mil        925mil       3100mil        925mil   2943.504mil   1013.582mil  T        360.00 B I_IF         
SW3        PTS645SM43SMTR_LFS       3100mil       1275mil       3100mil       1275mil   2943.504mil   1363.582mil  T        360.00 F _PNC'        
